,video_id,video_title,upload_date,view_count,like_count,dislike_count,favorite_count,comment_count
0,d2neUrrUSu0,Python for Data Analysis: Probability And Binomial Distribution,2023-05-02,223,5,0,0,0
1,MO1TY636-YA,A Python Approach to Solving Probability Interview Question for Data Science,2023-04-26,465,26,0,0,0
2,f6P1nuQXsC0,Using IFNULL() Function in MySQL to Avoid Null Value Errors,2023-04-25,314,12,0,0,0
3,rbRYsAgwPBA,Using IFNULL() on a Google SQL Interview Question,2023-04-19,892,29,0,0,1
4,IWo8H8U_Ugk,Sorting and Ranking Data in Python: An Overview of the Rank() Function,2023-04-18,208,9,0,0,0
5,2uu0prXMhfU,How to Rank() Your Data In Python Pandas [Part 1],2023-04-12,719,35,0,0,1
6,sF6gngs9myY,38 Data Science Tools For Beginners to Experts,2023-04-05,1813,136,0,0,12
7,Y5-eAFnxMjU,Maximizing Profits: Solving the Uber Data Project Scenario Two,2023-04-04,278,12,0,0,0
8,xlppLbv7nb0,Using Python Pandas for Building Uber&#39;s Business Models [Part 3],2023-03-29,826,23,0,0,0
9,Mkhdz2TLP2E,Uber Data Project: Exploring Bonus Payout with Data Analysis,2023-03-29,427,18,0,0,0
10,-Lzi4Qoy2v4,Using Python Pandas To Answer Business Questions For An Uber Data Science Project [Part 2],2023-03-22,773,26,0,0,2
11,pqeUTfNFBCU,Exploring and Cleaning Data: The First Step in Every Data Project,2023-03-14,1461,61,0,0,1
12,ZOthTms86Bw,Exploratory Data Analysis For An Uber Python Data Science Project [Part 1],2023-03-08,1668,68,0,0,0
13,9oNY9EV3MiM,Speed up your Python Data Manipulation with Lambda Filter Function,2023-02-28,701,23,0,0,0
14,YN-5NQO4iSU,Solving Amazon Interview Questions with Lambda Filter Function in Python,2023-02-22,848,36,0,0,2
15,ltzJhIs8voQ,Mastering SQL String Manipulation with Regex_split_to_table() function,2023-02-21,462,33,0,0,0
16,BgN5hpl3WKc,Solving a Tricky Google SQL Question with String Manipulation,2023-02-16,1602,50,0,0,4
17,GxR66KdqBFU,Analyzing Datasets with Window Functions: First Value Syntax and Examples,2023-02-16,464,16,0,0,0
18,-KXluZNAYrA,Window Function in SQL: A Step-by-Step Guide to Solve Amazon Interview Question,2023-02-08,1467,57,0,0,7
19,Xzr7PMeqXyU,Crush Your Data Science Interview: Master Group By and Aggregate Functions in Python,2023-02-07,400,21,0,0,1
20,f-9SnlALFac,Group By  Aggregate Functions to Solve Python Coding Questions,2023-02-01,798,37,0,0,4
21,iN9H3Bau05k,Airbnb Python Coding Practice for Interview,2023-01-31,1515,56,0,0,0
22,_XbrEcgQYSA,How to Use the Lambda Function in Python to Solve Interview Questions,2023-01-25,960,27,0,0,4
23,pqQG_tNXncc,Classical Machine Learning [DoorDash Data Science Project],2023-01-18,1989,57,0,0,3
24,g7Lt_Kqn0wA,Hard SQL Interview Question from Wine Magazine,2023-01-17,512,20,0,0,0
25,vdmCxvaRdLU,Using Rank() and PARTITIONs in SQL To Solve Complex SQL Interview Questions,2023-01-11,1903,61,0,0,6
26,A1U4TPxZ0CE,Correlation Matrix in Python to Solve a DoorDash Data Science Task,2023-01-10,533,27,0,0,0
27,gh5JzALBQvU,How To Handle Multicollinearity and Feature Selection [DoorDash Data Science Project],2023-01-04,1968,74,0,0,8
28,m3zEV10qvE8,Collinearity and Removing Redundancies [DoorDash Data Science Project],2022-12-29,1487,58,0,0,5
29,G7fvAkj9gQs,How to Build a DoorDash Prediction Model with Python,2022-12-28,680,30,0,0,0
30,Sf6jn8QZHhc,Data Preparation for Modeling [DoorDash Data Science Project],2022-12-22,3200,83,0,0,19
31,AM4nPwvUtTo,Python Data Science Projects for Beginners - Boost Your Portfolio in 2023,2022-12-15,2188,134,0,0,5
32,Vt-POo9tEB8,Spotify Days At Number One SQL Question,2022-12-07,520,22,0,0,0
33,93quPoReV1M,SQL Solution to SPOTIFY Days At Number One Question,2022-12-01,2639,99,0,0,5
34,6xo0cn0BpKs,How to Solve a Forbes Interview Question Using the Sample() Function,2022-11-30,633,16,0,0,0
